Sourcefile	20260427 151445 Faraday Airdemo Scan Analog.qmp
Exporttime	27.04.2026 15:43:53

Start Time	27.04.2026 15:29:05
End Time	27.04.2026 15:43:26


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	27.04.2026 15:29:05

Mass [amu]	Ion Current [A]
15,41	-1,596055e-013
15,44	-1,583383e-013
15,47	-1,545229e-013
15,50	-1,488249e-013
15,53	-1,419335e-013
15,56	-1,334816e-013
15,59	-1,233871e-013
15,63	-1,125605e-013
15,66	-1,026941e-013
15,69	-9,525901e-014
15,72	-8,968296e-014
15,75	-8,445055e-014
15,78	-8,056485e-014
15,81	-8,051096e-014
15,84	-8,396510e-014
15,88	-8,781718e-014
15,91	-8,955501e-014
15,94	-8,872169e-014
15,97	-8,643435e-014
16,00	-8,466607e-014
16,03	-8,458744e-014
16,06	-8,545596e-014
16,09	-8,605497e-014
16,13	-8,595501e-014
16,16	-8,567815e-014
16,19	-8,611821e-014
16,22	-8,657096e-014
16,25	-8,589119e-014
16,28	-8,634306e-014
16,31	-9,192817e-014
16,34	-1,026938e-013
16,38	-1,142650e-013
16,41	-1,229917e-013
16,44	-1,288973e-013
16,47	-1,337720e-013
16,50	-1,382664e-013
16,53	-1,410494e-013
16,56	-1,405459e-013
16,59	-1,372151e-013
16,63	-1,331653e-013
16,66	-1,292920e-013
16,69	-1,245698e-013
16,72	-1,189582e-013
16,75	-1,142721e-013
16,78	-1,115901e-013
16,81	-1,102669e-013
16,84	-1,091421e-013
16,88	-1,078178e-013
16,91	-1,074440e-013
16,94	-1,097811e-013
16,97	-1,149104e-013
17,00	-1,201414e-013
17,03	-1,218420e-013
17,06	-1,190487e-013
17,09	-1,145773e-013
17,13	-1,119980e-013
17,16	-1,128610e-013
17,19	-1,167358e-013
17,22	-1,213953e-013
17,25	-1,234004e-013
17,28	-1,211125e-013
17,31	-1,169855e-013
17,34	-1,153299e-013
17,38	-1,180257e-013
17,41	-1,235594e-013
17,44	-1,298257e-013
17,47	-1,362799e-013
17,50	-1,421864e-013
17,53	-1,442612e-013
17,56	-1,391427e-013
17,59	-1,280918e-013
17,63	-1,169130e-013
17,66	-1,098662e-013
17,69	-1,051384e-013
17,72	-9,806931e-014
17,75	-8,712296e-014
17,78	-7,620179e-014
17,81	-7,144168e-014
17,84	-7,442150e-014
17,88	-8,076828e-014
17,91	-8,705763e-014
17,94	-9,382251e-014
17,97	-1,004011e-013
18,00	-1,034017e-013
18,03	-1,017046e-013
18,06	-9,860714e-014
18,09	-9,797442e-014
18,13	-1,003065e-013
18,16	-1,037008e-013
18,19	-1,072330e-013
18,22	-1,110619e-013
18,25	-1,148153e-013
18,28	-1,188724e-013
18,31	-1,248591e-013
18,34	-1,319625e-013
18,38	-1,360057e-013
18,41	-1,345913e-013
18,44	-1,299305e-013
18,47	-1,260849e-013
18,50	-1,260049e-013
18,53	-1,300390e-013
18,56	-1,359889e-013
18,59	-1,414121e-013
18,63	-1,449393e-013
18,66	-1,458194e-013
18,69	-1,448552e-013
18,72	-1,443239e-013
18,75	-1,447435e-013
18,78	-1,438981e-013
18,81	-1,406139e-013
18,84	-1,373252e-013
18,88	-1,373280e-013
18,91	-1,409346e-013
18,94	-1,452441e-013
18,97	-1,471197e-013
19,00	-1,458854e-013
19,03	-1,427306e-013
19,06	-1,383112e-013
19,09	-1,329196e-013
19,13	-1,282037e-013
19,16	-1,258422e-013
19,19	-1,256771e-013
19,22	-1,271873e-013
19,25	-1,304290e-013
19,28	-1,346191e-013
19,31	-1,380576e-013
19,34	-1,399884e-013
19,38	-1,415888e-013
19,41	-1,444325e-013
19,44	-1,479908e-013
19,47	-1,495524e-013
19,50	-1,471448e-013
19,53	-1,419827e-013
19,56	-1,376210e-013
19,59	-1,368718e-013
19,63	-1,396304e-013
19,66	-1,431689e-013
19,69	-1,444644e-013
19,72	-1,430326e-013
19,75	-1,408911e-013
19,78	-1,395479e-013
19,81	-1,389651e-013
19,84	-1,390368e-013
19,88	-1,401693e-013
19,91	-1,425791e-013
19,94	-1,454259e-013
19,97	-1,473498e-013
20,00	-1,482655e-013
20,03	-1,495573e-013
20,06	-1,520405e-013
20,09	-1,545604e-013
20,13	-1,553853e-013
20,16	-1,545479e-013
20,19	-1,537947e-013
20,22	-1,540304e-013
20,25	-1,536840e-013
20,28	-1,503825e-013
20,31	-1,445069e-013
20,34	-1,397703e-013
20,38	-1,389130e-013
20,41	-1,408847e-013
20,44	-1,433229e-013
20,47	-1,453126e-013
20,50	-1,463749e-013
20,53	-1,448864e-013
20,56	-1,404173e-013
20,59	-1,359732e-013
20,63	-1,346593e-013
20,66	-1,360357e-013
20,69	-1,377966e-013
20,72	-1,388422e-013
20,75	-1,397263e-013
20,78	-1,413908e-013
20,81	-1,435581e-013
20,84	-1,443707e-013
20,88	-1,422345e-013
20,91	-1,381007e-013
20,94	-1,352967e-013
20,97	-1,360402e-013
21,00	-1,392766e-013
21,03	-1,431918e-013
21,06	-1,475190e-013
21,09	-1,519065e-013
21,13	-1,546192e-013
21,16	-1,545947e-013
21,19	-1,527739e-013
21,22	-1,501248e-013
21,25	-1,459152e-013
21,28	-1,389477e-013
21,31	-1,307134e-013
21,34	-1,264077e-013
21,38	-1,301763e-013
21,41	-1,398060e-013
