Sourcefile	20260427 151445 Faraday Airdemo Scan Analog.qmp
Exporttime	27.04.2026 15:26:23

Start Time	27.04.2026 15:16:41
End Time	27.04.2026 15:23:36


Task Name	Scan
First Mass	0,00
Scan Width	50,00

Start Time	27.04.2026 15:16:41

Mass [amu]	Ion Current [A]
17,53	-1,691926e-015
17,56	7,962573e-016
17,59	5,492553e-015
17,63	1,170218e-014
17,66	2,101207e-014
17,69	3,336801e-014
17,72	4,421399e-014
17,75	5,027388e-014
17,78	5,337311e-014
17,81	5,642383e-014
17,84	6,019940e-014
17,88	6,404662e-014
17,91	6,630100e-014
17,94	6,473859e-014
17,97	5,973497e-014
18,00	5,539300e-014
18,03	5,433244e-014
18,06	5,376164e-014
18,09	4,943482e-014
18,13	4,120464e-014
18,16	3,239457e-014
18,19	2,538036e-014
18,22	1,955556e-014
18,25	1,330328e-014
18,28	7,400097e-015
18,31	5,034072e-015
18,34	7,524277e-015
18,38	1,184948e-014
18,41	1,378414e-014
18,44	1,230702e-014
18,47	9,417289e-015
18,50	6,272276e-015
18,53	2,557336e-015
18,56	-1,085516e-015
18,59	-3,521320e-015
18,63	-4,971156e-015
18,66	-5,989545e-015
18,69	-5,529888e-015
18,72	-2,499429e-015
18,75	1,094006e-015
18,78	1,410726e-015
18,81	-1,815970e-015
18,84	-3,915734e-015
18,88	-1,485007e-015
18,91	3,411808e-015
18,94	6,867100e-015
18,97	7,405230e-015
19,00	6,018336e-015
19,03	3,998354e-015
19,06	1,938539e-015
19,09	8,664447e-016
19,13	1,932234e-015
19,16	3,896222e-015
19,19	3,691400e-015
19,22	7,307668e-016
19,25	-2,105405e-015
19,28	-2,519287e-015
19,31	-9,695289e-016
19,34	9,047876e-016
19,38	1,472811e-015
19,41	-6,106422e-016
19,44	-5,241487e-015
19,47	-1,020651e-014
19,50	-1,322010e-014
19,53	-1,419860e-014
19,56	-1,441361e-014
19,59	-1,481016e-014
19,63	-1,602170e-014
19,66	-1,781754e-014
19,69	-1,794089e-014
19,72	-1,422228e-014
19,75	-8,459850e-015
19,78	-5,261435e-015
19,81	-6,671740e-015
19,84	-1,074435e-014
19,88	-1,489123e-014
19,91	-1,776327e-014
19,94	-1,832903e-014
19,97	-1,580575e-014
20,00	-1,108302e-014
20,03	-6,793415e-015
20,06	-5,246543e-015
20,09	-6,420160e-015
20,13	-8,366639e-015
20,16	-9,888742e-015
20,19	-1,159054e-014
20,22	-1,345260e-014
20,25	-1,340813e-014
20,28	-1,032113e-014
20,31	-6,513203e-015
20,34	-4,700335e-015
20,38	-4,511388e-015
20,41	-4,515345e-015
20,44	-5,246046e-015
20,47	-7,866552e-015
20,50	-1,110755e-014
20,53	-1,163922e-014
20,56	-7,992690e-015
20,59	-2,724710e-015
20,63	1,519030e-016
20,66	-1,042716e-015
20,69	-4,784744e-015
20,72	-8,668913e-015
20,75	-1,190279e-014
20,78	-1,443382e-014
20,81	-1,493128e-014
20,84	-1,236682e-014
20,88	-7,816229e-015
20,91	-2,526600e-015
20,94	3,461860e-015
20,97	9,728896e-015
21,00	1,403467e-014
21,03	1,398368e-014
21,06	1,007814e-014
21,09	4,800813e-015
21,13	-6,962964e-016
21,16	-6,493566e-015
21,19	-1,165611e-014
21,22	-1,431474e-014
21,25	-1,372718e-014
21,28	-1,128715e-014
21,31	-9,951052e-015
21,34	-1,181159e-014
21,38	-1,553669e-014
21,41	-1,749864e-014
21,44	-1,515370e-014
21,47	-9,088555e-015
21,50	-2,866944e-015
21,53	-2,817658e-016
21,56	-1,818792e-015
21,59	-4,498383e-015
21,63	-5,619199e-015
21,66	-5,196986e-015
21,69	-3,903546e-015
21,72	-1,276971e-015
21,75	2,263573e-015
21,78	4,755907e-015
21,81	5,563854e-015
21,84	5,696311e-015
21,88	5,253195e-015
21,91	3,982918e-015
21,94	3,465302e-015
21,97	5,642708e-015
22,00	9,619841e-015
22,03	1,193647e-014
22,06	1,090696e-014
22,09	8,960264e-015
22,13	8,573427e-015
22,16	8,381586e-015
22,19	5,261988e-015
22,22	-2,138388e-015
22,25	-1,170738e-014
22,28	-1,855841e-014
22,31	-1,928236e-014
22,34	-1,555591e-014
22,38	-1,171079e-014
22,41	-9,072672e-015
22,44	-5,323751e-015
22,47	2,942984e-016
22,50	4,508710e-015
22,53	3,636749e-015
22,56	-2,365396e-015
22,59	-1,003704e-014
22,63	-1,511290e-014
22,66	-1,456413e-014
22,69	-8,531950e-015
22,72	-1,244893e-015
22,75	2,229752e-015
22,78	3,557535e-016
22,81	-4,572069e-015
22,84	-9,354878e-015
22,88	-1,221895e-014
22,91	-1,310576e-014
22,94	-1,300419e-014
22,97	-1,308235e-014
23,00	-1,311828e-014
23,03	-1,088477e-014
23,06	-5,047927e-015
23,09	1,678428e-015
23,13	4,333337e-015
23,16	1,326393e-015
23,19	-3,264680e-015
23,22	-5,033946e-015
23,25	-4,556601e-015
23,28	-4,516766e-015
23,31	-4,949341e-015
23,34	-4,092772e-015
23,38	-1,042171e-015
23,41	3,670590e-015
23,44	7,772982e-015
23,47	7,915830e-015
23,50	3,862161e-015
23,53	6,309592e-016
23,56	2,916356e-015
23,59	9,216951e-015
23,63	1,395287e-014
23,66	1,403431e-014
23,69	1,109554e-014
23,72	7,674467e-015
23,75	3,699667e-015
23,78	-2,167017e-015
23,81	-8,987025e-015
23,84	-1,384219e-014
23,88	-1,550344e-014
23,91	-1,490108e-014
23,94	-1,242515e-014
23,97	-8,155006e-015
24,00	-3,987718e-015
24,03	-1,909081e-015
24,06	-1,444985e-015
24,09	-1,478000e-015
24,13	-2,039973e-015
24,16	-2,610899e-015
24,19	-1,807930e-015
24,22	3,618820e-016
24,25	2,193196e-015
24,28	2,003398e-015
24,31	-7,563285e-016
24,34	-5,429707e-015
24,38	-1,027619e-014
24,41	-1,304063e-014
24,44	-1,270144e-014
24,47	-1,049634e-014
24,50	-8,371098e-015
24,53	-7,027291e-015
24,56	-5,830731e-015
24,59	-4,700726e-015
24,63	-5,394773e-015
24,66	-8,520022e-015
24,69	-1,125244e-014
24,72	-1,135260e-014
24,75	-1,018604e-014
24,78	-9,633335e-015
24,81	-9,618234e-015
24,84	-9,821959e-015
24,88	-1,047499e-014
24,91	-1,084554e-014
24,94	-9,799470e-015
24,97	-7,332991e-015
25,00	-3,621224e-015
25,03	1,152625e-015
25,06	4,699902e-015
25,09	4,595765e-015
25,13	2,594237e-015
25,16	1,914072e-015
25,19	2,482824e-015
25,22	2,723725e-015
25,25	2,283159e-015
25,28	1,270610e-015
25,31	-4,413429e-016
25,34	-2,948494e-015
25,38	-5,587045e-015
25,41	-6,608379e-015
25,44	-5,333091e-015
25,47	-3,619266e-015
25,50	-3,554133e-015
25,53	-4,949818e-015
25,56	-5,943668e-015
25,59	-5,585234e-015
25,63	-4,547330e-015
25,66	-3,048675e-015
25,69	-2,810680e-016
25,72	3,764169e-015
25,75	8,215339e-015
25,78	1,205866e-014
25,81	1,368777e-014
25,84	1,266654e-014
25,88	1,189629e-014
25,91	1,464561e-014
25,94	1,974114e-014
25,97	2,282332e-014
26,00	2,281005e-014
26,03	2,288032e-014
26,06	2,394199e-014
26,09	2,259906e-014
26,13	1,680907e-014
26,16	9,491449e-015
26,19	5,021900e-015
26,22	3,657377e-015
26,25	2,517144e-015
26,28	1,577735e-015
26,31	3,002974e-015
26,34	5,768899e-015
26,38	7,027200e-015
26,41	6,103578e-015
26,44	3,572307e-015
26,47	-3,882224e-016
26,50	-4,880494e-015
26,53	-7,133213e-015
26,56	-4,668166e-015
26,59	1,101053e-015
26,63	6,169585e-015
26,66	8,739700e-015
26,69	9,772707e-015
26,72	1,006425e-014
26,75	9,831849e-015
26,78	9,917051e-015
26,81	1,105857e-014
26,84	1,326430e-014
26,88	1,616619e-014
26,91	1,787644e-014
26,94	1,538083e-014
26,97	8,234822e-015
27,00	-1,256775e-016
27,03	-5,353225e-015
27,06	-5,203787e-015
27,09	-4,082324e-016
27,13	6,147573e-015
27,16	1,161013e-014
27,19	1,461214e-014
27,22	1,445224e-014
27,25	1,038690e-014
27,28	2,823968e-015
27,31	-4,841258e-015
27,34	-7,205579e-015
27,38	-1,869828e-015
27,41	7,308487e-015
27,44	1,413227e-014
27,47	1,612947e-014
27,50	1,542447e-014
27,53	1,661207e-014
27,56	2,554032e-014
27,59	4,727652e-014
27,63	8,228373e-014
27,66	1,246071e-013
27,69	1,660393e-013
27,72	2,024164e-013
27,75	2,332519e-013
27,78	2,568089e-013
27,81	2,709119e-013
27,84	2,768593e-013
27,88	2,774604e-013
27,91	2,740965e-013
27,94	2,689147e-013
27,97	2,654083e-013
28,00	2,643275e-013
28,03	2,626626e-013
28,06	2,579225e-013
28,09	2,509766e-013
28,13	2,434869e-013
28,16	2,342651e-013
28,19	2,205465e-013
28,22	2,021592e-013
28,25	1,831079e-013
28,28	1,685622e-013
28,31	1,593739e-013
28,34	1,512992e-013
28,38	1,400582e-013
28,41	1,236868e-013
28,44	1,019733e-013
28,47	7,775967e-014
28,50	5,574081e-014
28,53	3,778793e-014
28,56	2,244721e-014
28,59	9,310064e-015
28,63	3,177988e-016
28,66	-3,453283e-015
28,69	-3,230325e-015
28,72	-9,345110e-016
28,75	2,288475e-015
28,78	6,350938e-015
28,81	1,124369e-014
28,84	1,530344e-014
28,88	1,558711e-014
28,91	1,181358e-014
28,94	8,128648e-015
28,97	7,913644e-015
29,00	9,217005e-015
29,03	8,372633e-015
29,06	5,147563e-015
29,09	1,677963e-015
29,13	-8,322930e-016
29,16	-2,376987e-015
29,19	-2,808021e-015
29,22	-1,627399e-015
29,25	1,068678e-016
29,28	-8,597224e-016
29,31	-5,472055e-015
29,34	-9,445416e-015
29,38	-8,822998e-015
29,41	-5,055281e-015
29,44	-1,742345e-015
29,47	-8,477750e-017
29,50	1,189397e-015
29,53	3,705712e-015
29,56	7,544793e-015
29,59	1,068756e-014
29,63	1,067118e-014
29,66	7,375702e-015
29,69	3,446596e-015
29,72	1,346899e-015
29,75	1,434731e-015
29,78	3,542547e-015
29,81	8,000975e-015
29,84	1,452535e-014
29,88	2,189315e-014
29,91	2,772367e-014
29,94	2,866623e-014
29,97	2,365960e-014
30,00	1,608844e-014
30,03	1,019026e-014
30,06	6,901364e-015
30,09	5,178267e-015
30,13	5,082256e-015
30,16	6,950925e-015
30,19	9,089614e-015
30,22	9,086827e-015
30,25	6,732965e-015
30,28	3,868244e-015
30,31	2,506349e-015
30,34	3,794893e-015
30,38	6,715407e-015
30,41	7,830552e-015
30,44	5,006051e-015
30,47	7,958839e-016
30,50	-8,757147e-016
30,53	-2,249281e-016
30,56	-2,503197e-016
30,59	-1,617779e-015
30,63	-2,507663e-015
30,66	-1,498430e-015
30,69	1,862568e-015
30,72	6,950489e-015
30,75	1,147720e-014
30,78	1,330611e-014
30,81	1,240372e-014
30,84	1,012906e-014
30,88	7,983897e-015
30,91	7,012796e-015
30,94	7,478506e-015
30,97	8,459512e-015
31,00	8,327284e-015
31,03	6,690606e-015
31,06	4,718095e-015
31,09	3,698995e-015
31,13	4,477818e-015
31,16	6,500272e-015
31,19	7,395606e-015
31,22	5,518850e-015
31,25	1,839977e-015
31,28	-1,238622e-015
31,31	-1,747074e-015
31,34	-1,032978e-016
31,38	1,024998e-015
31,41	8,760576e-016
31,44	1,854362e-015
31,47	4,896758e-015
31,50	7,708419e-015
31,53	8,941331e-015
31,56	1,060486e-014
31,59	1,476922e-014
31,63	2,081504e-014
31,66	2,725064e-014
31,69	3,279706e-014
31,72	3,561483e-014
31,75	3,557922e-014
31,78	3,578239e-014
31,81	3,792562e-014
31,84	3,943062e-014
31,88	3,798149e-014
31,91	3,518091e-014
31,94	3,376839e-014
31,97	3,432314e-014
32,00	3,619257e-014
32,03	3,900129e-014
32,06	4,196826e-014
32,09	4,404261e-014
32,13	4,525252e-014
32,16	4,598728e-014
32,19	4,573140e-014
32,22	4,376341e-014
32,25	4,006059e-014
32,28	3,516413e-014
32,31	2,942388e-014
32,34	2,304998e-014
32,38	1,743284e-014
32,41	1,476007e-014
32,44	1,507602e-014
32,47	1,568600e-014
32,50	1,441535e-014
32,53	1,182587e-014
32,56	1,006717e-014
32,59	1,034083e-014
32,63	1,165729e-014
32,66	1,222640e-014
32,69	1,174173e-014
32,72	1,152640e-014
32,75	1,234727e-014
32,78	1,361487e-014
32,81	1,527300e-014
32,84	1,775582e-014
32,88	1,939423e-014
32,91	1,720914e-014
32,94	1,089710e-014
32,97	3,697876e-015
33,00	-8,300847e-016
33,03	-2,247494e-015
33,06	-2,999446e-015
33,09	-4,638079e-015
33,13	-6,262608e-015
33,16	-6,573062e-015
33,19	-5,337162e-015
33,22	-3,346295e-015
33,25	-1,744568e-015
33,28	-6,905762e-016
33,31	1,148987e-015
33,34	4,861217e-015
33,38	9,553715e-015
33,41	1,282842e-014
33,44	1,280735e-014
33,47	9,937610e-015
33,50	6,786096e-015
33,53	5,637642e-015
33,56	5,930519e-015
33,59	5,337846e-015
